Configuration,Rule Source,Sarif Identifier,Alerts
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/unused-exception-object,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/unused-global-variable,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/unused-import,10
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/unused-local-variable,1
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/unused-loop-variable,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/url-redirection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/use-of-apply,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/use-of-exit-or-quit,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/use-of-input,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/useless-except,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/weak-crypto-key,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/weak-cryptographic-algorithm,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/weak-sensitive-data-hashing,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/xml-bomb,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/xpath-injection,0
/language:python,codeql/python-queries (1.7.4+b4f4b0e6b0d0e819d1242d1911d54af219e065db),py/xxe,0
